timestamp,fecha,hora,dia_semana,mes,src_ip,dst_ip,dst_port,protocol,action,bytes,country,severity,mitre_technique
2024-02-01 09:23:13,2024-02-01,9,Thursday,2024-02,192.168.4.65,10.0.0.19,25,ICMP,allow,28015,China,media,
2024-01-08 02:13:32,2024-01-08,2,Monday,2024-01,192.168.4.51,10.0.0.3,80,ICMP,allow,7645,Estados Unidos,baja,
2024-02-18 00:35:58,2024-02-18,0,Sunday,2024-02,45.35.214.57,10.0.0.37,3306,UDP,allow,9629,Irán,media,T1190
2024-02-15 03:24:23,2024-02-15,3,Thursday,2024-02,192.168.2.113,10.0.0.34,25,UDP,allow,38422,China,baja,
2024-01-31 13:44:02,2024-01-31,13,Wednesday,2024-01,45.91.57.7,10.0.0.46,3389,ICMP,deny,29040,China,critica,T1021
2024-02-03 04:02:29,2024-02-03,4,Saturday,2024-02,192.168.5.159,10.0.0.33,993,UDP,allow,27989,México,baja,
2024-02-27 13:05:36,2024-02-27,13,Tuesday,2024-02,45.79.44.152,10.0.0.1,8080,UDP,deny,26428,Irán,critica,T1190
2024-02-20 01:35:19,2024-02-20,1,Tuesday,2024-02,192.168.5.214,10.0.0.44,110,TCP,allow,49763,Países Bajos,baja,
2024-02-04 04:08:50,2024-02-04,4,Sunday,2024-02,45.74.13.144,10.0.0.43,21,ICMP,allow,35637,Corea del Norte,baja,T1071
2024-02-25 04:02:34,2024-02-25,4,Sunday,2024-02,45.74.13.144,10.0.0.29,3389,TCP,deny,37387,Irán,critica,T1021
2024-01-11 18:15:11,2024-01-11,18,Thursday,2024-01,45.45.125.58,10.0.0.31,8080,ICMP,allow,16902,Corea del Norte,media,T1190
2024-01-18 17:59:09,2024-01-18,17,Thursday,2024-01,192.168.2.126,10.0.0.8,123,TCP,allow,43043,China,baja,
2024-02-25 09:10:11,2024-02-25,9,Sunday,2024-02,45.21.111.60,10.0.0.43,8080,TCP,deny,12797,Irán,critica,T1190
2024-01-25 12:20:15,2024-01-25,12,Thursday,2024-01,192.168.2.136,10.0.0.30,53,TCP,allow,11846,Brasil,baja,
2024-01-04 04:27:52,2024-01-04,4,Thursday,2024-01,45.21.111.60,10.0.0.47,3389,UDP,deny,1996,Irán,critica,T1021
2024-02-21 03:43:59,2024-02-21,3,Wednesday,2024-02,45.79.44.152,10.0.0.12,8080,TCP,deny,11146,China,critica,T1190
2024-02-29 03:10:16,2024-02-29,3,Thursday,2024-02,192.168.1.222,10.0.0.6,25,ICMP,deny,0,Brasil,media,
2024-01-08 03:50:30,2024-01-08,3,Monday,2024-01,192.168.5.44,10.0.0.13,993,TCP,allow,36086,China,baja,
2024-02-17 00:39:06,2024-02-17,0,Saturday,2024-02,192.168.1.246,10.0.0.19,25,TCP,allow,870,China,media,
2024-01-04 17:12:36,2024-01-04,17,Thursday,2024-01,45.21.111.60,10.0.0.35,3389,TCP,allow,21567,China,media,T1021
2024-01-12 10:07:05,2024-01-12,10,Friday,2024-01,45.21.111.60,10.0.0.26,22,TCP,deny,20171,China,critica,T1110
2024-01-13 00:27:01,2024-01-13,0,Saturday,2024-01,45.79.44.152,10.0.0.31,23,TCP,allow,25282,China,baja,T1110
2024-02-25 13:36:42,2024-02-25,13,Sunday,2024-02,192.168.4.196,10.0.0.49,443,ICMP,allow,18715,Desconocido,baja,
2024-01-09 01:03:26,2024-01-09,1,Tuesday,2024-01,45.91.57.7,10.0.0.45,23,UDP,deny,24512,Rusia,alta,T1110
2024-02-15 03:17:04,2024-02-15,3,Thursday,2024-02,45.27.52.174,10.0.0.33,445,ICMP,deny,11328,Rusia,critica,T1021
2024-02-08 03:53:30,2024-02-08,3,Thursday,2024-02,192.168.1.238,10.0.0.27,53,UDP,deny,20437,Corea del Norte,media,
2024-01-13 03:29:36,2024-01-13,3,Saturday,2024-01,192.168.1.246,10.0.0.2,443,TCP,allow,41793,Rusia,baja,
2024-01-04 13:17:20,2024-01-04,13,Thursday,2024-01,45.91.57.7,10.0.0.44,3389,TCP,deny,22969,Corea del Norte,critica,T1021
2024-02-29 13:06:28,2024-02-29,13,Thursday,2024-02,192.168.1.139,10.0.0.6,123,UDP,deny,26233,China,media,
2024-02-27 18:29:18,2024-02-27,18,Tuesday,2024-02,192.168.2.113,10.0.0.41,443,TCP,allow,24620,Brasil,media,
2024-01-23 01:04:07,2024-01-23,1,Tuesday,2024-01,192.168.4.103,10.0.0.12,80,ICMP,allow,6958,China,baja,
2024-01-20 04:47:15,2024-01-20,4,Saturday,2024-01,45.91.57.7,10.0.0.9,445,TCP,deny,24432,Rusia,critica,T1021
2024-02-17 11:21:51,2024-02-17,11,Saturday,2024-02,45.91.57.7,10.0.0.35,3389,ICMP,deny,7602,Irán,critica,T1021
2024-02-24 03:44:09,2024-02-24,3,Saturday,2024-02,192.168.2.253,10.0.0.39,80,ICMP,deny,49331,Desconocido,media,
2024-01-23 00:14:24,2024-01-23,0,Tuesday,2024-01,192.168.2.207,10.0.0.17,53,ICMP,allow,15772,Rusia,media,
2024-01-05 00:15:31,2024-01-05,0,Friday,2024-01,45.35.214.57,10.0.0.6,445,ICMP,deny,7879,Irán,critica,T1021
2024-01-01 02:27:37,2024-01-01,2,Monday,2024-01,45.74.13.144,10.0.0.27,21,TCP,deny,47521,Irán,critica,T1071
2024-02-06 04:45:27,2024-02-06,4,Tuesday,2024-02,45.64.16.8,10.0.0.27,21,UDP,deny,34129,Rusia,alta,T1071
2024-01-22 09:29:15,2024-01-22,9,Monday,2024-01,192.168.5.159,10.0.0.24,123,UDP,allow,43377,China,baja,
2024-01-04 01:26:22,2024-01-04,1,Thursday,2024-01,45.74.13.144,10.0.0.29,8080,ICMP,deny,13045,Desconocido,critica,T1190
2024-01-01 09:42:13,2024-01-01,9,Monday,2024-01,45.79.44.152,10.0.0.47,23,UDP,deny,998,Irán,alta,T1110
2024-02-22 15:27:55,2024-02-22,15,Thursday,2024-02,45.74.13.144,10.0.0.47,23,ICMP,allow,42640,Rusia,baja,T1110
2024-01-22 18:25:27,2024-01-22,18,Monday,2024-01,45.91.57.7,10.0.0.36,22,ICMP,allow,18918,Rusia,media,T1110
2024-02-05 16:50:49,2024-02-05,16,Monday,2024-02,192.168.2.6,10.0.0.17,123,UDP,allow,26044,Brasil,media,
2024-02-04 01:48:24,2024-02-04,1,Sunday,2024-02,192.168.0.251,10.0.0.2,25,UDP,allow,14093,China,baja,
2024-01-28 13:24:54,2024-01-28,13,Sunday,2024-01,192.168.1.33,10.0.0.43,123,ICMP,allow,16816,Rusia,baja,
2024-02-01 00:07:35,2024-02-01,0,Thursday,2024-02,45.35.214.57,10.0.0.34,1433,ICMP,allow,43040,China,media,T1190
2024-02-29 04:42:51,2024-02-29,4,Thursday,2024-02,45.64.16.8,10.0.0.13,8080,TCP,deny,35752,Rusia,alta,T1190
2024-01-22 01:45:49,2024-01-22,1,Monday,2024-01,45.91.57.7,10.0.0.48,8080,TCP,deny,16637,Desconocido,alta,T1190
2024-01-26 03:52:15,2024-01-26,3,Friday,2024-01,45.91.57.7,10.0.0.5,1433,UDP,deny,30331,Rusia,critica,T1190
2024-02-17 16:33:09,2024-02-17,16,Saturday,2024-02,192.168.5.177,10.0.0.27,993,UDP,allow,10265,Irán,baja,
2024-02-19 03:08:56,2024-02-19,3,Monday,2024-02,192.168.1.130,10.0.0.10,53,UDP,allow,472,China,baja,
2024-02-29 01:05:49,2024-02-29,1,Thursday,2024-02,192.168.0.98,10.0.0.15,123,UDP,allow,38411,Países Bajos,baja,
2024-01-29 02:24:00,2024-01-29,2,Monday,2024-01,45.74.13.144,10.0.0.38,8080,UDP,deny,17680,Rusia,critica,T1190
2024-02-23 11:03:13,2024-02-23,11,Friday,2024-02,192.168.5.144,10.0.0.8,80,UDP,allow,46524,México,baja,
2024-01-02 18:20:13,2024-01-02,18,Tuesday,2024-01,192.168.1.64,10.0.0.4,53,TCP,allow,47145,Estados Unidos,baja,
2024-01-20 02:25:29,2024-01-20,2,Saturday,2024-01,45.91.57.7,10.0.0.3,3389,TCP,deny,20733,Irán,critica,T1021
2024-01-23 10:27:00,2024-01-23,10,Tuesday,2024-01,45.21.111.60,10.0.0.28,22,UDP,deny,580,China,critica,T1110
2024-02-05 00:58:05,2024-02-05,0,Monday,2024-02,45.21.111.60,10.0.0.22,8080,UDP,deny,28487,Irán,alta,T1190
2024-02-20 01:02:20,2024-02-20,1,Tuesday,2024-02,45.74.13.144,10.0.0.13,23,ICMP,deny,28267,Corea del Norte,alta,T1110
2024-01-14 00:50:06,2024-01-14,0,Sunday,2024-01,192.168.2.27,10.0.0.18,53,ICMP,allow,20519,México,baja,
2024-02-08 13:16:42,2024-02-08,13,Thursday,2024-02,45.27.52.174,10.0.0.48,8080,TCP,deny,5373,China,critica,T1190
2024-01-01 11:22:04,2024-01-01,11,Monday,2024-01,192.168.2.126,10.0.0.32,110,ICMP,allow,32147,Estados Unidos,baja,
2024-02-17 13:46:56,2024-02-17,13,Saturday,2024-02,45.21.111.60,10.0.0.8,1433,TCP,deny,22019,Desconocido,critica,T1190
2024-02-26 10:57:42,2024-02-26,10,Monday,2024-02,45.64.16.8,10.0.0.14,1433,UDP,deny,46713,Rusia,critica,T1190
2024-02-29 14:09:24,2024-02-29,14,Thursday,2024-02,45.91.57.7,10.0.0.2,22,ICMP,deny,7225,Corea del Norte,critica,T1110
2024-01-16 00:38:18,2024-01-16,0,Tuesday,2024-01,45.27.52.174,10.0.0.16,3389,ICMP,allow,3653,China,baja,T1021
2024-01-09 11:15:52,2024-01-09,11,Tuesday,2024-01,192.168.2.254,10.0.0.10,123,ICMP,allow,31502,Rusia,media,
2024-02-10 14:14:48,2024-02-10,14,Saturday,2024-02,192.168.3.138,10.0.0.33,25,ICMP,deny,36790,Corea del Norte,media,
2024-02-14 16:54:13,2024-02-14,16,Wednesday,2024-02,192.168.1.246,10.0.0.33,443,ICMP,allow,31603,Rusia,baja,
2024-01-28 12:39:42,2024-01-28,12,Sunday,2024-01,45.21.111.60,10.0.0.48,1433,ICMP,allow,24360,Rusia,baja,T1190
2024-01-28 18:13:18,2024-01-28,18,Sunday,2024-01,45.27.52.174,10.0.0.22,1433,ICMP,deny,9052,Corea del Norte,critica,T1190
2024-02-01 03:58:45,2024-02-01,3,Thursday,2024-02,192.168.4.103,10.0.0.21,123,TCP,allow,10355,China,media,
2024-01-17 15:25:06,2024-01-17,15,Wednesday,2024-01,45.21.111.60,10.0.0.5,21,TCP,deny,27229,Irán,alta,T1071
2024-02-18 17:14:50,2024-02-18,17,Sunday,2024-02,192.168.2.103,10.0.0.16,993,ICMP,allow,47206,Brasil,media,
2024-01-24 12:15:59,2024-01-24,12,Wednesday,2024-01,192.168.0.29,10.0.0.16,123,UDP,allow,34305,Desconocido,baja,
2024-01-06 04:06:46,2024-01-06,4,Saturday,2024-01,192.168.4.43,10.0.0.45,25,UDP,allow,2551,Estados Unidos,baja,
2024-01-23 16:35:41,2024-01-23,16,Tuesday,2024-01,45.91.57.7,10.0.0.41,3306,UDP,deny,17638,China,alta,T1190
2024-02-07 14:24:34,2024-02-07,14,Wednesday,2024-02,45.35.214.57,10.0.0.18,445,TCP,allow,47157,Corea del Norte,baja,T1021
2024-01-06 12:48:56,2024-01-06,12,Saturday,2024-01,45.27.52.174,10.0.0.33,1433,ICMP,deny,25310,China,critica,T1190
2024-01-12 18:37:14,2024-01-12,18,Friday,2024-01,192.168.4.65,10.0.0.27,123,ICMP,allow,47534,China,baja,
2024-01-22 03:58:34,2024-01-22,3,Monday,2024-01,192.168.2.126,10.0.0.20,25,TCP,allow,19740,China,media,
2024-01-11 04:19:23,2024-01-11,4,Thursday,2024-01,45.64.16.8,10.0.0.20,445,UDP,deny,28873,China,critica,T1021
2024-01-16 00:42:37,2024-01-16,0,Tuesday,2024-01,45.74.13.144,10.0.0.36,23,UDP,allow,26531,Corea del Norte,media,T1110
2024-01-10 18:32:14,2024-01-10,18,Wednesday,2024-01,192.168.0.40,10.0.0.14,25,ICMP,allow,44944,Países Bajos,media,
2024-02-15 14:00:58,2024-02-15,14,Thursday,2024-02,192.168.3.230,10.0.0.13,80,UDP,allow,34419,Brasil,media,
2024-01-23 01:33:49,2024-01-23,1,Tuesday,2024-01,192.168.0.98,10.0.0.26,80,ICMP,allow,1819,India,media,
2024-02-25 16:51:18,2024-02-25,16,Sunday,2024-02,192.168.3.98,10.0.0.8,123,TCP,allow,17640,México,baja,
2024-01-18 04:17:02,2024-01-18,4,Thursday,2024-01,45.21.111.60,10.0.0.47,21,UDP,allow,48878,Irán,baja,T1071
2024-02-12 02:22:25,2024-02-12,2,Monday,2024-02,45.27.52.174,10.0.0.9,3306,ICMP,deny,25135,Irán,alta,T1190
2024-02-15 02:34:35,2024-02-15,2,Thursday,2024-02,45.27.52.174,10.0.0.49,3306,ICMP,deny,12410,Rusia,alta,T1190
2024-01-17 10:34:58,2024-01-17,10,Wednesday,2024-01,45.79.44.152,10.0.0.44,22,UDP,allow,10438,China,baja,T1110
2024-02-08 04:32:48,2024-02-08,4,Thursday,2024-02,45.27.52.174,10.0.0.50,23,UDP,deny,35814,Irán,critica,T1110
2024-02-22 01:53:10,2024-02-22,1,Thursday,2024-02,192.168.5.84,10.0.0.33,110,ICMP,allow,20602,China,media,
2024-02-02 01:50:08,2024-02-02,1,Friday,2024-02,192.168.1.139,10.0.0.16,110,UDP,allow,1786,Desconocido,baja,
2024-01-26 04:39:59,2024-01-26,4,Friday,2024-01,45.64.16.8,10.0.0.4,3389,ICMP,deny,15402,Irán,critica,T1021
2024-02-13 02:46:56,2024-02-13,2,Tuesday,2024-02,192.168.5.150,10.0.0.48,80,ICMP,allow,14373,Rusia,baja,
2024-01-14 00:32:48,2024-01-14,0,Sunday,2024-01,45.21.111.60,10.0.0.46,3389,UDP,deny,37904,China,critica,T1021
2024-02-06 12:22:29,2024-02-06,12,Tuesday,2024-02,45.27.52.174,10.0.0.37,8080,TCP,deny,28061,Irán,alta,T1190
2024-01-17 11:22:54,2024-01-17,11,Wednesday,2024-01,45.79.44.152,10.0.0.19,23,UDP,deny,37941,China,alta,T1110
2024-01-09 02:26:37,2024-01-09,2,Tuesday,2024-01,192.168.5.159,10.0.0.7,53,ICMP,allow,31182,India,baja,
2024-01-02 11:37:06,2024-01-02,11,Tuesday,2024-01,192.168.0.223,10.0.0.24,443,ICMP,allow,41465,Estados Unidos,media,
2024-01-19 01:24:19,2024-01-19,1,Friday,2024-01,192.168.0.62,10.0.0.32,443,TCP,allow,34971,Corea del Norte,media,
2024-01-03 01:55:21,2024-01-03,1,Wednesday,2024-01,45.21.111.60,10.0.0.49,1433,ICMP,deny,42589,China,critica,T1190
2024-01-07 13:59:54,2024-01-07,13,Sunday,2024-01,45.91.57.7,10.0.0.6,3306,UDP,deny,8032,Irán,critica,T1190
2024-01-18 08:08:42,2024-01-18,8,Thursday,2024-01,192.168.2.197,10.0.0.10,443,ICMP,allow,13534,Rusia,media,
2024-02-26 10:14:57,2024-02-26,10,Monday,2024-02,45.27.52.174,10.0.0.11,21,UDP,allow,32653,Irán,media,T1071
2024-01-18 04:32:17,2024-01-18,4,Thursday,2024-01,45.79.44.152,10.0.0.7,21,TCP,allow,41239,China,baja,T1071
2024-02-21 02:06:56,2024-02-21,2,Wednesday,2024-02,45.74.13.144,10.0.0.17,445,UDP,deny,11875,Corea del Norte,critica,T1021
2024-02-19 09:10:06,2024-02-19,9,Monday,2024-02,192.168.4.142,10.0.0.9,80,ICMP,allow,17246,Desconocido,baja,
2024-02-24 03:31:52,2024-02-24,3,Saturday,2024-02,45.45.125.58,10.0.0.42,3306,TCP,deny,33172,Rusia,alta,T1190
2024-02-17 02:12:44,2024-02-17,2,Saturday,2024-02,45.27.52.174,10.0.0.7,1433,UDP,deny,7459,Corea del Norte,critica,T1190
2024-01-25 00:30:02,2024-01-25,0,Thursday,2024-01,45.35.214.57,10.0.0.28,8080,TCP,deny,43376,Irán,critica,T1190
2024-01-08 13:14:14,2024-01-08,13,Monday,2024-01,192.168.5.77,10.0.0.46,80,UDP,allow,10344,China,media,
2024-02-03 16:42:17,2024-02-03,16,Saturday,2024-02,45.64.16.8,10.0.0.30,23,TCP,deny,127,Rusia,alta,T1110
2024-01-25 01:36:29,2024-01-25,1,Thursday,2024-01,45.45.125.58,10.0.0.1,8080,UDP,deny,23647,Corea del Norte,critica,T1190
2024-01-14 03:55:39,2024-01-14,3,Sunday,2024-01,45.35.214.57,10.0.0.29,3389,UDP,deny,21848,Corea del Norte,critica,T1021
2024-02-01 12:01:03,2024-02-01,12,Thursday,2024-02,192.168.0.219,10.0.0.23,993,UDP,allow,23367,México,baja,
2024-02-24 14:49:08,2024-02-24,14,Saturday,2024-02,45.45.125.58,10.0.0.41,21,UDP,deny,47184,Corea del Norte,alta,T1071
2024-02-14 00:21:35,2024-02-14,0,Wednesday,2024-02,192.168.4.116,10.0.0.17,123,UDP,allow,21301,Corea del Norte,baja,
2024-01-07 15:06:19,2024-01-07,15,Sunday,2024-01,192.168.5.109,10.0.0.25,993,TCP,allow,36021,India,media,
2024-02-22 01:50:29,2024-02-22,1,Thursday,2024-02,45.74.13.144,10.0.0.1,3389,TCP,allow,14337,Corea del Norte,media,T1021
2024-01-03 00:31:38,2024-01-03,0,Wednesday,2024-01,45.45.125.58,10.0.0.27,3389,ICMP,deny,21469,Rusia,critica,T1021
2024-02-23 03:46:14,2024-02-23,3,Friday,2024-02,192.168.4.243,10.0.0.25,80,UDP,allow,43596,Estados Unidos,baja,
2024-01-13 18:53:26,2024-01-13,18,Saturday,2024-01,192.168.0.154,10.0.0.32,80,TCP,allow,39261,Estados Unidos,baja,
2024-02-28 03:44:24,2024-02-28,3,Wednesday,2024-02,45.79.44.152,10.0.0.26,21,ICMP,allow,12162,Corea del Norte,baja,T1071
2024-02-19 02:14:20,2024-02-19,2,Monday,2024-02,45.74.13.144,10.0.0.31,3389,TCP,deny,45676,Irán,critica,T1021
2024-02-17 14:53:40,2024-02-17,14,Saturday,2024-02,192.168.1.151,10.0.0.38,993,UDP,allow,41131,India,baja,
2024-02-25 09:29:10,2024-02-25,9,Sunday,2024-02,192.168.5.227,10.0.0.49,443,ICMP,deny,190,Alemania,media,
2024-02-14 02:44:42,2024-02-14,2,Wednesday,2024-02,45.21.111.60,10.0.0.49,8080,ICMP,deny,24058,China,alta,T1190
2024-01-17 18:03:25,2024-01-17,18,Wednesday,2024-01,45.27.52.174,10.0.0.7,3306,TCP,deny,3998,Corea del Norte,alta,T1190
2024-01-10 18:22:46,2024-01-10,18,Wednesday,2024-01,192.168.5.109,10.0.0.26,993,TCP,allow,22960,Corea del Norte,baja,
2024-02-09 00:23:52,2024-02-09,0,Friday,2024-02,192.168.5.59,10.0.0.22,53,TCP,allow,26329,México,baja,
2024-01-07 04:27:14,2024-01-07,4,Sunday,2024-01,192.168.3.230,10.0.0.15,53,ICMP,allow,3237,India,baja,
2024-02-08 14:45:47,2024-02-08,14,Thursday,2024-02,192.168.4.236,10.0.0.38,443,UDP,allow,42263,México,baja,
2024-02-12 14:20:58,2024-02-12,14,Monday,2024-02,45.79.44.152,10.0.0.36,3389,UDP,allow,13692,China,baja,T1021
2024-01-14 17:12:47,2024-01-14,17,Sunday,2024-01,45.64.16.8,10.0.0.26,22,ICMP,allow,3640,Corea del Norte,baja,T1110
2024-01-11 15:40:29,2024-01-11,15,Thursday,2024-01,45.35.214.57,10.0.0.1,1433,TCP,deny,10323,Irán,critica,T1190
2024-02-03 04:37:38,2024-02-03,4,Saturday,2024-02,45.64.16.8,10.0.0.20,8080,TCP,deny,17950,Rusia,alta,T1190
2024-02-06 02:36:32,2024-02-06,2,Tuesday,2024-02,192.168.1.96,10.0.0.3,123,ICMP,allow,20022,Rusia,baja,
2024-02-02 03:38:26,2024-02-02,3,Friday,2024-02,192.168.3.24,10.0.0.45,25,TCP,allow,9176,Irán,media,
2024-01-29 09:53:30,2024-01-29,9,Monday,2024-01,45.64.16.8,10.0.0.22,1433,ICMP,deny,36933,China,critica,T1190
2024-01-08 03:38:42,2024-01-08,3,Monday,2024-01,45.27.52.174,10.0.0.25,21,ICMP,deny,48548,Irán,critica,T1071
2024-01-14 10:27:05,2024-01-14,10,Sunday,2024-01,192.168.3.98,10.0.0.7,110,ICMP,allow,25574,Países Bajos,baja,
2024-02-13 03:09:31,2024-02-13,3,Tuesday,2024-02,192.168.2.180,10.0.0.12,443,UDP,allow,18584,Rusia,baja,
2024-01-14 00:56:26,2024-01-14,0,Sunday,2024-01,45.79.44.152,10.0.0.33,445,TCP,allow,36920,Corea del Norte,baja,T1021
2024-01-29 21:00:19,2024-01-29,21,Monday,2024-01,192.168.2.91,10.0.0.20,443,TCP,allow,32984,China,baja,
2024-01-28 01:28:07,2024-01-28,1,Sunday,2024-01,45.91.57.7,10.0.0.38,8080,TCP,deny,26977,Corea del Norte,alta,T1190
2024-02-06 15:01:44,2024-02-06,15,Tuesday,2024-02,192.168.5.144,10.0.0.39,443,TCP,allow,1523,China,baja,
2024-01-03 03:11:06,2024-01-03,3,Wednesday,2024-01,192.168.4.68,10.0.0.21,53,UDP,allow,30981,Brasil,media,
2024-02-16 09:18:16,2024-02-16,9,Friday,2024-02,192.168.4.65,10.0.0.41,80,TCP,allow,18535,Brasil,baja,
2024-01-10 22:49:15,2024-01-10,22,Wednesday,2024-01,45.35.214.57,10.0.0.26,3389,TCP,deny,17280,Irán,critica,T1021
2024-01-17 04:36:06,2024-01-17,4,Wednesday,2024-01,45.35.214.57,10.0.0.17,22,TCP,deny,4672,Corea del Norte,alta,T1110
2024-01-14 02:29:00,2024-01-14,2,Sunday,2024-01,45.91.57.7,10.0.0.26,23,TCP,deny,17248,Corea del Norte,critica,T1110
2024-01-02 11:27:16,2024-01-02,11,Tuesday,2024-01,45.91.57.7,10.0.0.36,22,UDP,deny,1943,Rusia,alta,T1110
2024-02-24 04:26:30,2024-02-24,4,Saturday,2024-02,192.168.0.175,10.0.0.21,123,ICMP,allow,0,Desconocido,baja,
2024-01-30 04:34:16,2024-01-30,4,Tuesday,2024-01,192.168.0.22,10.0.0.9,53,TCP,allow,30040,Rusia,baja,
2024-01-07 04:24:53,2024-01-07,4,Sunday,2024-01,192.168.2.113,10.0.0.32,123,UDP,deny,35871,Estados Unidos,alta,
2024-01-11 11:51:41,2024-01-11,11,Thursday,2024-01,192.168.5.227,10.0.0.36,80,TCP,allow,40688,México,baja,
2024-01-22 15:55:24,2024-01-22,15,Monday,2024-01,192.168.4.65,10.0.0.35,53,UDP,allow,40020,México,media,
2024-02-22 04:27:46,2024-02-22,4,Thursday,2024-02,45.35.214.57,10.0.0.14,445,ICMP,deny,806,Rusia,critica,T1021
2024-01-19 13:36:05,2024-01-19,13,Friday,2024-01,45.64.16.8,10.0.0.8,3389,ICMP,deny,18452,Corea del Norte,critica,T1021
2024-01-23 10:20:19,2024-01-23,10,Tuesday,2024-01,45.35.214.57,10.0.0.35,1433,UDP,allow,30872,Rusia,baja,T1190
2024-01-04 03:37:43,2024-01-04,3,Thursday,2024-01,45.21.111.60,10.0.0.16,3306,UDP,allow,23321,Rusia,baja,T1190
2024-02-23 00:43:28,2024-02-23,0,Friday,2024-02,192.168.0.64,10.0.0.49,53,UDP,allow,15380,Rusia,media,
